net,node_index,node,tile,grid_x,grid_y
"alive_div_reg_n_0_[1]","0","INT_R_X55Y95/FAN_ALT3","INT_R_X55Y95","136","109"
"alive_div_reg_n_0_[1]","1","INT_R_X55Y95/IMUX13","INT_R_X55Y95","136","109"
"alive_div_reg_n_0_[1]","2","INT_R_X55Y95/NL1BEG0","INT_R_X55Y96","136","108"
"alive_div_reg_n_0_[1]","3","INT_R_X55Y95/FAN_BOUNCE3","INT_R_X55Y95","136","109"
"alive_div_reg_n_0_[1]","4","CLBLM_R_X55Y95/CLBLM_LOGIC_OUTS1","INT_R_X55Y95","136","109"
"alive_div_reg_n_0_[1]","5","CLBLM_R_X55Y95/CLBLM_L_BQ","CLBLM_R_X55Y95","137","109"
"alive_div_reg_n_0_[1]","6","CLBLM_R_X55Y95/CLBLM_L_B6","CLBLM_R_X55Y95","137","109"
"alive_div_reg[0]_i_1_n_0","0","CLBLM_R_X55Y95/CLBLM_L_COUT_N","CLBLM_R_X55Y96","137","108"
"alive_div_reg[0]_i_1_n_0","1","CLBLM_R_X55Y95/CLBLM_L_COUT","CLBLM_R_X55Y95","137","109"
"alive_div_reg[4]_i_1_n_0","0","CLBLM_R_X55Y96/CLBLM_L_COUT_N","CLBLM_R_X55Y97","137","107"
"alive_div_reg[4]_i_1_n_0","1","CLBLM_R_X55Y96/CLBLM_L_COUT","CLBLM_R_X55Y96","137","108"
"alive_div_reg[8]_i_1_n_0","0","CLBLM_R_X55Y97/CLBLM_L_COUT_N","CLBLM_R_X55Y98","137","106"
"alive_div_reg[8]_i_1_n_0","1","CLBLM_R_X55Y97/CLBLM_L_COUT","CLBLM_R_X55Y97","137","107"
"alive_div_reg[12]_i_1_n_0","0","CLBLM_R_X55Y98/CLBLM_L_COUT_N","CLBLM_R_X55Y99","137","105"
"alive_div_reg[12]_i_1_n_0","1","CLBLM_R_X55Y98/CLBLM_L_COUT","CLBLM_R_X55Y98","137","106"
"alive_div_reg[16]_i_1_n_0","0","CLBLM_R_X55Y99/CLBLM_L_COUT_N","CLBLM_R_X55Y100","137","103"
"alive_div_reg[16]_i_1_n_0","1","CLBLM_R_X55Y99/CLBLM_L_COUT","CLBLM_R_X55Y99","137","105"
"alive_div_reg[20]_i_1_n_0","0","CLBLM_R_X55Y100/CLBLM_L_COUT_N","CLBLM_R_X55Y101","137","102"
"alive_div_reg[20]_i_1_n_0","1","CLBLM_R_X55Y100/CLBLM_L_COUT","CLBLM_R_X55Y100","137","103"
